page_title,gt_lat,gt_lon,gt_type,cl_to
Réserve_naturelle_de_Vindelfjällen,65.9231,15.3178,landmark,Article_de_qualité
Géants_de_Mont-Prama,39.962,8.449,landmark,Article_de_qualité
Château_du_Petit_Trianon,48.8156,2.10967,landmark,Article_de_qualité
Hôtel-Dieu_de_Carpentras,44.0516,5.0478,landmark,Article_de_qualité
Palais_des_papes_de_Sorgues,44.0136,4.87296,landmark,Article_de_qualité
Sittelle_de_Przewalski,35.0,101.0,,Article_de_qualité
Homme_de_Néandertal,51.2272,6.94444,landmark,Article_de_qualité
Opération_Ten-Gō,30.367,128.067,,Article_de_qualité
Babylone,32.542,44.42,landmark,Article_de_qualité
Kabylie,36.6,5.0,city,Article_de_qualité
Mystères_d'Osiris,26.1751,31.909,,Article_de_qualité
Floride,28.1333,-81.6317,adm1st,Article_de_qualité
Toulouse,43.6045,1.44396,city,Article_de_qualité
Dakota_du_Sud,44.5,-100.0,adm1st,Article_de_qualité
Enceinte_gallo-romaine_de_Tours,47.395,0.69456,,Article_de_qualité
Ermitage_Saint-Guillem_de_Combret,42.4533,2.4967,landmark,Article_de_qualité
Puits_Sainte-Marie,47.7029,6.62974,landmark,Article_de_qualité
Puits_Notre-Dame,47.6898,6.64825,landmark,Article_de_qualité
Tillia_tepe,36.7,65.787,landmark,Article_de_qualité
Temple_gallo-romain_de_Tours,47.3934,0.688,landmark,Article_de_qualité
Parc_national_Olympique,47.9694,-123.498,landmark,Article_de_qualité
Parc_national_de_Yellowstone,44.6147,-110.501,landmark,Article_de_qualité
Tōdai-ji,34.6892,135.84,landmark,Article_de_qualité
Néron_(Isère),45.2344,5.71,mountain,Article_de_qualité
Alpes_dinariques,45.0,16.5,mountain,Article_de_qualité
Amphithéâtre_de_Tours,47.3954,0.695904,landmark,Article_de_qualité
Sagrada_Família,41.4034,2.17444,landmark,Article_de_qualité
Musée_national_du_Bardo_(Tunisie),36.8093,10.1344,landmark,Article_de_qualité
Kilimandjaro,-3.07617,37.3528,mountain,Article_de_qualité
Krakatoa,-6.102,105.423,isle,Article_de_qualité
Sare,43.3136,-1.57917,city,Article_de_qualité
